Soft Spot (F),Soft Spot (R),Accessory 1,Accessory 2,Accessory 3,Accessory 4,Accessory 5,No of Passengers,Kombi,Boda V3,Spicy V3,Mundo,Spicy V4,Fastrack
Med Soft Spot,,Ring (F),Yepp,,,,2,N,,"Y
YeppEasyfit only",Y,Y,Y
Med Soft Spot,,Ring (F),Yepp,,2-Go,,2,N,,"Y**
YeppEasyfit only
Soft spot strap has fitment issues",N,Y**,
Med Soft Spot,,Ring (F),Yepp,,Baguette,,2,N,,N,Y,N,N
Med Soft Spot,,Ring (F),Yepp,,Go-Getter,,2,N,,N,Y**,N,N
Med Soft Spot,,Hold On (F),,,,,1,"Y
Planning to carry 2 kids eventually? Small soft spot reccomended instead of medium.",,Y,Y,Y,Y**
Med Soft Spot,,Hold On (F),Yepp,,,,2,N,,"Y
YeppEasyfit only",Y,Y,Y**
Med Soft Spot,,Hold On (F),Yepp,,2-Go,,2,N,,"Y**
YeppEasyfit only",N,Y**,
Med Soft Spot,,Hold On (F),Yepp,,Baguette,,2,N,,N,Y,N,N
Med Soft Spot,,Hold On (F),Yepp,,Go-Getter ,,2,N,,N,Y**,N,N
Med Soft Spot,Med Soft Spot,Hold On (F),Ring,,,,2,N,,N,N,Y,
Med Soft Spot,Small Soft Spot,Hold On (F),Ring,,,,2,Y*,,Y,Y,Y,Y**
Med Soft Spot,Small Soft Spot,Hold On (F),Ring,,2-Go,,2,Y*,,Y,N,Y,
Med Soft Spot,Small Soft Spot,Hold On (F),Ring,,Baguette,,2,Y*,,N,Y,N,N
Med Soft Spot,Small Soft Spot,Hold On (F),Ring,,Go-Getter,,2,N,,N,Y,N,
Small Soft Spot,,MB V3 (new!),,,,,1,,,,,Y,Y
Small Soft Spot,,MB V3 (new!),Yepp,,,,2,,,,,Y,Y
Small Soft Spot,,MB V3 (new!),Yepp,,2-Go,,2,,,,,Y**,
Small Soft Spot,,MB V3 (new!),Yepp,,Baguette,,2,,,,,N,N
Small Soft Spot,,MB V3 (new!),Yepp,,Go-Getter,,2,,,,,N,
Med Soft Spot,,MB V3 (new!),,,,,1,,,,,Y,Y
Med Soft Spot,,MB V3 (new!),Yepp,,,,2,,,,,Y,Y
Med Soft Spot,,MB V3 (new!),Yepp,,2-Go,,2,,,,,Y**,
Med Soft Spot,,MB V3 (new!),Yepp,,Baguette,,2,,,,,N,N
Med Soft Spot,,MB V3 (new!),Yepp,,Go-Getter,,2,,,,,N,N
Small Soft Spot,Small Soft Spot,MB V3 (new!),,,,,2,,,,,Y,Y
Small Soft Spot,Small Soft Spot,MB V3 (new!),,,2-Go,,2,,,,,Y,
Small Soft Spot,Small Soft Spot,MB V3 (new!),,,Baguette,,2,,,,,N,N
Small Soft Spot,Small Soft Spot,MB V3 (new!),,,Go-Getter,,2,,,,,N,N
Small Soft Spot,Med Soft Spot,MB V3 (new!),,,,,2,,,,,Y,Y
Small Soft Spot,Med Soft Spot,MB V3 (new!),,,2-Go,,2,,,,,Y,
Small Soft Spot,Med Soft Spot,MB V3 (new!),,,Baguette,,2,,,,,N,N
Small Soft Spot,Med Soft Spot,MB V3 (new!),,,Go-Getter,,2,,,,,N,N
Med Soft Spot,Med Soft Spot,MB V3 (new!),,,,,2,,,,,Y,Y
Med Soft Spot,Med Soft Spot,MB V3 (new!),,,2-Go,,2,,,,,Y,
Med Soft Spot,Med Soft Spot,MB V3 (new!),,,Baguette,,2,,,,,N,N
Med Soft Spot,Med Soft Spot,MB V3 (new!),,,Go-Getter,,2,,,,,N,N
